Ticker,recent_RVI,threshold,is_fast_mover,category
QCLN,0.030732321864472344,0.005949390691301599,True,ESG / Clean Energy
ICLN,0.008281660855558105,0.005949390691301599,True,ESG / Clean Energy
BP,0.007591132893181417,0.005949390691301599,True,Fossil Fuel
NEE,0.006188194199202407,0.005949390691301599,True,ESG / Clean Energy
PLUG,0.004994176659698361,0.005949390691301599,False,ESG / Clean Energy
COP,0.00468947228633576,0.005949390691301599,False,Fossil Fuel
BEP,0.004645246329474599,0.005949390691301599,False,ESG / Clean Energy
CVX,0.004028366636576908,0.005949390691301599,False,Fossil Fuel
FSLR,0.003785214562539782,0.005949390691301599,False,ESG / Clean Energy
SLB,0.00365386646221727,0.005949390691301599,False,Fossil Fuel
SPY,0.003433382116490361,0.005949390691301599,False,Benchmark
TTE,0.003143270882303771,0.005949390691301599,False,Fossil Fuel
ENPH,0.003061000908329467,0.005949390691301599,False,ESG / Clean Energy
TAN,0.0029400466662371583,0.005949390691301599,False,ESG / Clean Energy
SHEL,0.0024450239243783787,0.005949390691301599,False,Fossil Fuel
XOM,0.0022230998538768534,0.005949390691301599,False,Fossil Fuel
EOG,0.0020892541001234547,0.005949390691301599,False,Fossil Fuel
