Date,xi,sigma,threshold,n_exceedances,fit_success
2010-01-04,-1.0806256165280348,0.05871788093738364,0.04804052061829755,26,True
2010-01-05,-1.0806256165280348,0.05871788093738364,0.04804052061829755,26,True
2010-01-06,-1.0806256165280348,0.05871788093738364,0.04804052061829755,26,True
2010-01-07,-0.7066745240475338,0.04108587455922057,0.04723537296534509,26,True
2010-01-08,-0.7066745240475338,0.04108587455922057,0.04723537296534509,26,True
2010-01-11,-0.7066745240475338,0.04108587455922057,0.04723537296534509,26,True
2010-01-12,-0.62305943199145,0.03923965252613763,0.04365391171467883,26,True
2010-01-13,-0.62305943199145,0.03923965252613763,0.04365391171467883,26,True
2010-01-14,-0.5412567230318066,0.03599585537049211,0.043158067062703385,26,True
2010-01-15,-0.5246435468519692,0.034989906175965674,0.04365391171467883,26,True
2010-01-19,-0.5246435468519692,0.034989906175965674,0.04365391171467883,26,True
2010-01-20,-0.4234159182826752,0.02943779866299725,0.043158067062703385,26,True
2010-01-21,-0.4234159182826752,0.02943779866299725,0.043158067062703385,26,True
2010-01-22,-0.437542959079815,0.02996350525122529,0.043158067062703385,26,True
2010-01-25,-0.437542959079815,0.02996350525122529,0.043158067062703385,26,True
2010-01-26,-0.437542959079815,0.02996350525122529,0.043158067062703385,26,True
2010-01-27,-0.437542959079815,0.02996350525122529,0.043158067062703385,26,True
2010-01-28,-0.437542959079815,0.02996350525122529,0.043158067062703385,26,True
2010-01-29,-0.42475086054931277,0.029950525878028503,0.0423499813056959,26,True
2010-02-01,-0.42475086054931277,0.029950525878028503,0.0423499813056959,26,True
2010-02-02,-0.4556283735732316,0.031510726570069834,0.04169765946835704,26,True
2010-02-03,-0.4556283735732316,0.031510726570069834,0.04169765946835704,26,True
2010-02-04,-0.49710014053189067,0.03280888999971094,0.0423499813056959,26,True
2010-02-05,-0.49710014053189067,0.03280888999971094,0.0423499813056959,26,True
2010-02-08,-0.49710014053189067,0.03280888999971094,0.0423499813056959,26,True
2010-02-09,-0.49710014053189067,0.03280888999971094,0.0423499813056959,26,True
2010-02-10,-0.46772529912940863,0.03200202167488936,0.04169765946835704,26,True
