Date,xi,sigma,dxi_dt,dsigma_dt,d2xi_dt2,d2sigma_dt2,RVI
2010-01-04,,,1.1102230246251565e-16,1.0408340855860843e-17,-2.7755575615628914e-17,-1.734723475976807e-18,7.077671781985372e-17
2010-01-05,,,8.326672684688674e-17,8.673617379884035e-18,-2.7755575615628914e-17,-2.6020852139652106e-18,5.3429483060085654e-17
2010-01-06,,,5.551115123125783e-17,5.204170427930421e-18,-2.7755575615628914e-17,-2.6020852139652106e-18,3.538835890992686e-17
2010-01-07,,,2.7755575615628914e-17,3.469446951953614e-18,-2.7755575615628914e-17,-1.734723475976807e-18,1.8041124150158794e-17
2010-01-08,,,0.0,1.734723475976807e-18,-2.7755575615628914e-17,-1.734723475976807e-18,6.938893903907229e-19
2010-01-11,,,-2.7755575615628914e-17,0.0,-1.3877787807814457e-17,-1.734723475976807e-18,1.6653345369377347e-17
2010-01-12,,,-2.7755575615628914e-17,-1.734723475976807e-18,0.0,-1.734723475976807e-18,1.734723475976807e-17
2010-01-13,,,-2.7755575615628914e-17,-3.469446951953614e-18,-1.3877787807814457e-17,-8.673617379884035e-19,1.8041124150158794e-17
2010-01-14,,,-5.551115123125783e-17,-3.469446951953614e-18,-1.6514567491299204e-15,-1.1102230246251565e-16,3.469446951953614e-17
2010-01-15,,,-3.3306690738754696e-15,-2.255140518769849e-16,-1.6237011735142914e-15,-1.1015494072452725e-16,2.0886070650760757e-15
2010-01-19,,,-3.3029134982598407e-15,-2.237793284010081e-16,1.6653345369377348e-15,1.1275702593849246e-16,2.0712598303163073e-15
2010-01-20,,,0.0,0.0,1.6514567491299204e-15,1.1188966420050406e-16,0.0
2010-01-21,,,0.0,0.0,0.0,0.0,0.0
2010-01-22,,,0.0,0.0,0.0,0.0,0.0
2010-01-25,,,0.0,0.0,0.0,0.0,0.0
2010-01-26,,,0.0,0.0,0.0,0.0,0.0
2010-01-27,,,0.0,0.0,0.0,0.0,0.0
2010-01-28,,,0.0,0.0,0.0,0.0,0.0
2010-01-29,,,0.0,0.0,0.0,0.0,0.0
2010-02-01,,,0.0,0.0,0.0,0.0,0.0
2010-02-02,,,0.0,0.0,0.0,0.0,0.0
2010-02-03,,,0.0,0.0,0.0,0.0,0.0
2010-02-04,,,0.0,0.0,0.0,0.0,0.0
2010-02-05,,,0.0,0.0,0.0,0.0,0.0
2010-02-08,,,0.0,0.0,0.0,0.0,0.0
2010-02-09,,,0.0,0.0,0.0,0.0,0.0
2010-02-10,,,0.0,0.0,0.0,0.0,0.0
2010-02-11,,,0.0,0.0,0.0,0.0,0.0
2010-02-12,,,0.0,0.0,0.0,0.0,0.0
2010-02-16,,,0.0,0.0,0.0,0.0,0.0
2010-02-17,,,0.0,0.0,0.0,0.0,0.0
2010-02-18,,,0.0,0.0,0.0,0.0,0.0
