Date,BEP,BP,COP,CVX,ENPH,EOG,FSLR,ICLN,NEE,PLUG,QCLN,SHEL,SLB,SPY,TAN,TTE,XOM
2009-01-02,3.571834087371826,19.149606704711914,22.804149627685547,38.469303131103516,,24.356704711914062,151.5,15.764514923095703,7.764608383178711,10.399999618530273,10.840840339660645,22.633005142211914,30.46738624572754,67.98126983642578,68.55382537841797,21.252464294433594,43.42344665527344
2009-01-05,3.596299171447754,19.378849029541016,23.061918258666992,38.53968048095703,,24.453582763671875,157.8000030517578,16.176437377929688,7.806689262390137,10.5,10.986111640930176,22.485151290893555,31.268815994262695,67.9008560180664,70.55055236816406,20.88693618774414,43.41813659667969
2009-01-06,3.626201629638672,19.386751174926758,23.149213790893555,38.88657760620117,,24.609291076660156,153.7100067138672,15.932075500488281,7.696972370147705,11.0,11.25849437713623,22.76442527770996,31.789745330810547,68.354248046875,70.10684967041016,20.779855728149414,42.7107048034668
2009-01-07,3.5745534896850586,18.75830841064453,22.1347713470459,37.182315826416016,,23.76153564453125,148.5,14.9895601272583,7.612802028656006,10.399999618530273,10.722810745239258,22.407119750976562,30.460723876953125,66.30657958984375,64.33854675292969,20.25187110900879,41.62035369873047
2009-01-08,3.596299171447754,19.291894912719727,22.44659996032715,37.32307434082031,,24.08680534362793,155.36000061035156,15.47128963470459,7.680440425872803,10.899999618530273,11.013349533081055,22.961551666259766,30.607641220092773,66.57719421386719,67.22268676757812,20.66539764404297,42.06713104248047
2009-01-09,3.588144540786743,18.627893447875977,21.615087509155273,36.60919952392578,,23.02450180053711,162.5399932861328,15.394492149353027,7.518113136291504,10.899999618530273,10.83176326751709,22.16892433166504,28.717628479003906,65.15116119384766,65.89154815673828,19.805103302001953,41.25865936279297
2009-01-12,3.503877878189087,18.06268882751465,20.983142852783203,35.603721618652344,,21.996803283691406,149.92999267578125,14.298379898071289,7.473021507263184,10.100000381469727,10.105408668518066,21.68841552734375,27.615663528442383,63.586158752441406,59.531646728515625,19.4691162109375,40.71080780029297
2009-01-13,3.476693868637085,17.872974395751953,21.294944763183594,36.106441497802734,,23.211355209350586,141.10000610351562,13.956275939941406,7.402379989624023,10.699999809265137,10.069087982177734,21.66788101196289,28.59740447998047,63.70321273803711,58.12654113769531,19.18112564086914,41.44482421875
2009-01-14,3.395144462585449,17.070613861083984,20.463449478149414,35.03562927246094,,21.9787540435791,133.3800048828125,13.195279121398926,7.264102458953857,10.199999809265137,9.55156135559082,20.52206802368164,27.001243591308594,61.69944381713867,53.9852180480957,18.3319034576416,39.94488525390625
2009-01-15,3.4114553928375244,17.193147659301758,20.147464752197266,35.57856750488281,,22.197189331054688,142.5800018310547,13.495490074157715,7.280632495880127,10.0,9.851184844970703,20.51384735107422,26.834280014038086,61.72138977050781,56.94331741333008,18.143611907958984,40.774627685546875
2009-01-16,3.4196105003356934,17.473770141601562,20.529966354370117,36.066219329833984,,22.096643447875977,145.4199981689453,13.97722339630127,7.4895548820495605,10.100000381469727,10.13264274597168,20.809547424316406,26.647281646728516,62.204010009765625,57.75678634643555,18.342985153198242,41.540565490722656
2009-01-20,3.4250454902648926,16.311748504638672,18.995838165283203,34.34183883666992,,21.05646514892578,137.75999450683594,12.909031867980957,7.485047340393066,8.899999618530273,9.397211074829102,19.48302459716797,24.59697723388672,58.920501708984375,52.13640213012695,17.364547729492188,40.57783126831055
2009-01-21,3.397865056991577,16.63585090637207,20.529966354370117,35.80983352661133,,22.64792823791504,141.4199981689453,13.27906322479248,7.36630392074585,9.899999618530273,9.751307487487793,19.819787979125977,26.03953742980957,61.46541976928711,54.28102111816406,17.922077178955078,42.15754318237305
2009-01-22,3.4658210277557373,16.378942489624023,19.993640899658203,35.16633224487305,,22.093158721923828,137.3000030517578,12.92998218536377,7.312198638916016,9.0,9.351815223693848,19.306419372558594,24.890830993652344,60.51473617553711,51.5447883605957,17.261154174804688,41.60969924926758
2009-01-23,3.476693868637085,16.118083953857422,20.03105926513672,35.603721618652344,,23.081336975097656,137.50999450683594,12.916011810302734,7.206986427307129,8.5,9.497082710266113,19.836206436157227,27.442026138305664,60.77799987792969,51.61874771118164,17.508541107177734,41.50864028930664
2009-01-26,3.503877878189087,16.876953125,20.426025390625,35.83999252319336,,23.5771427154541,139.0500030517578,13.069609642028809,7.355783939361572,9.300000190734863,9.62419605255127,20.349573135375977,28.049776077270508,61.19481658935547,52.210357666015625,18.6457462310791,41.806495666503906
2009-01-27,3.4875667095184326,17.01923942565918,20.58401870727539,36.242191314697266,,23.112537384033203,141.0800018310547,13.341893196105957,7.6323394775390625,9.399999618530273,9.896578788757324,20.616519927978516,28.029727935791016,61.816436767578125,54.20707702636719,18.841428756713867,41.97670364379883
2009-01-28,3.506596088409424,17.173391342163086,20.854249954223633,37.09683609008789,,24.25672149658203,145.8800048828125,13.725883483886719,7.737550258636475,9.600000381469727,10.314231872558594,20.8875732421875,29.49233055114746,63.90796661376953,55.981929779052734,19.494962692260742,42.152225494384766
2009-01-29,3.5174686908721924,16.77418327331543,19.60700035095215,35.503170013427734,,23.774770736694336,136.88999938964844,13.32094955444336,7.6909613609313965,9.199999809265137,9.9147367477417,20.990243911743164,28.00302505493164,61.831058502197266,52.7280387878418,18.81189727783203,40.955467224121094
2009-01-30,3.4821317195892334,16.78604507446289,19.760818481445312,35.45288848876953,,23.497394561767578,142.8000030517578,14.151764869689941,7.748075485229492,9.0,9.905660629272461,20.21815299987793,27.255037307739258,60.57322692871094,53.615455627441406,18.37990951538086,40.678897857666016
2009-02-02,3.4603848457336426,16.430328369140625,19.01246452331543,35.337249755859375,,23.140274047851562,138.27000427246094,12.825252532958984,7.644367694854736,10.0,9.669595718383789,20.39885139465332,27.241680145263672,60.39041519165039,51.32292938232422,18.56451416015625,40.79058074951172
2009-02-03,3.40873646736145,16.71489715576172,19.228654861450195,36.01594161987305,,23.539012908935547,140.4600067138672,12.922998428344727,7.845769882202148,10.600000381469727,9.778549194335938,20.982036590576172,27.375253677368164,61.238739013671875,52.2843132019043,19.173736572265625,41.55119705200195
2009-02-04,3.5011584758758545,16.991573333740234,19.054039001464844,35.99584197998047,,23.778249740600586,144.91000366210938,13.44661808013916,7.958498001098633,10.399999618530273,10.032767295837402,20.86103057861328,28.236774444580078,60.938880920410156,52.94987869262695,19.299272537231445,41.30652618408203
2009-02-05,3.5011584758758545,17.489582061767578,19.503053665161133,36.82536315917969,,23.95507049560547,149.7899932861328,13.453598976135254,7.922427177429199,10.5,10.323312759399414,21.128061294555664,29.752782821655273,61.84569549560547,53.46754837036133,19.44327163696289,42.43414306640625
2009-02-06,3.5256242752075195,17.99944305419922,19.9312744140625,37.654869079589844,,23.719301223754883,146.3000030517578,13.565308570861816,7.869818687438965,10.399999618530273,10.604777336120605,21.620380401611328,30.247007369995117,63.608116149902344,54.650794982910156,20.163251876831055,42.94730758666992
2009-02-09,3.539214849472046,17.967830657958984,20.17657470703125,37.41356658935547,,24.527175903320312,148.94000244140625,14.277432441711426,7.82472562789917,10.199999809265137,10.586614608764648,21.47017478942871,30.801319122314453,63.69587707519531,56.79540252685547,19.98602867126465,42.487586975097656
2009-02-10,3.4631025791168213,17.181283950805664,19.170452117919922,35.7545280456543,,23.02238655090332,145.22999572753906,13.5094575881958,7.591758728027344,9.100000381469727,10.168964385986328,20.489709854125977,28.958053588867188,60.77799987792969,53.31965255737305,19.092504501342773,40.70212173461914
2009-02-11,3.4576668739318848,17.24452018737793,19.108083724975586,35.82490921020508,,22.315078735351562,146.86000061035156,13.362836837768555,7.638352394104004,9.300000190734863,9.951056480407715,20.70667266845703,28.417104721069336,61.136314392089844,53.24569320678711,18.989124298095703,39.868194580078125
2009-02-12,3.4576668739318848,17.525156021118164,19.20785903930664,35.44439697265625,,22.224924087524414,145.60000610351562,13.083575248718262,7.608293056488037,9.600000381469727,10.150803565979004,20.98203468322754,28.029727935791016,61.180198669433594,52.80198287963867,19.380496978759766,40.2103271484375
2009-02-13,3.4495108127593994,17.331480026245117,18.987512588500977,35.378440856933594,,22.093158721923828,144.4499969482422,13.383781433105469,7.651882648468018,9.300000190734863,10.250680923461914,21.290769577026367,27.868633270263672,60.52206802368164,53.097782135009766,19.524497985839844,39.873531341552734
2009-02-17,3.3706817626953125,16.608186721801758,17.852508544921875,33.57730484008789,,19.49968147277832,133.6300048828125,12.713547706604004,7.336245536804199,8.899999618530273,9.615114212036133,20.14341926574707,25.640226364135742,57.93327331542969,49.69597244262695,18.04391860961914,38.10410690307617
2009-02-18,3.403301477432251,16.422666549682617,17.573949813842773,33.5468635559082,,19.631444931030273,129.22000122070312,12.252758979797363,7.274622917175293,8.5,9.38813304901123,20.222698211669922,25.640226364135742,57.7943229675293,47.18159866333008,18.21745491027832,38.45692825317383
2009-02-19,3.351651668548584,16.555755615234375,17.569740295410156,33.830970764160156,,19.354061126708984,131.3000030517578,11.987455368041992,7.49857234954834,8.100000381469727,9.11574935913086,20.38957977294922,25.868436813354492,57.172733306884766,45.18488693237305,18.365140914916992,38.574520111083984
2009-02-20,3.4114553928375244,16.172609329223633,16.58172607421875,33.01412582397461,,19.107887268066406,134.00999450683594,11.421945571899414,7.3632988929748535,7.900000095367432,8.816126823425293,19.83468246459961,24.754234313964844,56.616912841796875,43.85374069213867,17.89253044128418,38.077388763427734
2009-02-23,3.346216917037964,15.587818145751953,15.799729347229004,31.933439254760742,,17.675926208496094,124.83999633789062,10.870396614074707,7.194961071014404,7.800000190734863,8.38939380645752,19.06281852722168,23.619884490966797,54.591243743896484,41.11750793457031,17.35716438293457,37.04566955566406
2009-02-24,3.316314935684204,16.1605167388916,16.50185203552246,33.120662689208984,,18.49071502685547,137.67999267578125,11.547616958618164,7.379833221435547,9.100000381469727,8.906920433044434,19.617727279663086,25.53955078125,56.660831451416016,44.37140655517578,18.228527069091797,38.537109375
2009-02-25,3.286414861679077,16.10405731201172,16.140283584594727,32.217567443847656,,18.039981842041016,107.6500015258789,11.023991584777832,7.196657180786133,8.399999618530273,8.643620491027832,19.083675384521484,24.989158630371094,56.2147102355957,41.043556213378906,18.05498504638672,38.5157470703125
2009-02-26,3.310877799987793,15.72897720336914,16.165510177612305,32.05012130737305,,17.825016021728516,105.0,10.926250457763672,6.976596355438232,9.0,8.570982933044434,18.68731689453125,25.620088577270508,55.300594329833984,40.5258903503418,17.68946075439453,37.927711486816406
2009-02-27,3.2701051235198975,15.470861434936523,15.703038215637207,30.802034378051758,,17.350008010864258,105.73999786376953,10.63302230834961,6.879467964172363,9.600000381469727,8.325840950012207,18.345197677612305,25.54625701904297,54.064720153808594,39.56450653076172,17.427310943603516,36.29726791381836
2009-03-02,3.2809770107269287,14.176246643066406,14.769680976867676,29.23426055908203,,15.80709171295166,103.97000122070312,9.851079940795898,6.741363048553467,8.100000381469727,7.699356555938721,16.768098831176758,24.05616569519043,51.62947082519531,36.162696838378906,16.142417907714844,34.69891357421875
2009-03-03,3.2891318798065186,13.768901824951172,14.82854175567627,29.29008674621582,,16.65656089782715,110.44000244140625,9.851079940795898,6.57138729095459,8.0,7.73567533493042,16.183998107910156,23.93535614013672,51.24190139770508,36.014801025390625,16.027957916259766,34.40489959716797
2009-03-04,3.3434975147247314,14.446455955505371,15.576913833618164,30.07649803161621,,17.71752166748047,113.25,10.395648002624512,6.77171516418457,8.600000381469727,8.153328895568848,17.156116485595703,26.063098907470703,52.45585632324219,38.603126525878906,17.42361831665039,35.110530853271484
2009-03-05,3.2429206371307373,13.930225372314453,14.883200645446777,28.64573097229004,,17.97410011291504,109.79000091552734,9.501996994018555,6.506126403808594,7.099999904632568,7.7719926834106445,16.72220802307129,24.270957946777344,50.31317138671875,35.71898651123047,16.312257766723633,33.26091384887695
2009-03-06,3.2619500160217285,14.244802474975586,14.866388320922852,29.564048767089844,,18.053848266601562,108.48999786376953,9.48105239868164,6.498538494110107,7.099999904632568,7.717514514923096,17.477378845214844,24.65355110168457,50.40092468261719,35.71898651123047,16.884552001953125,34.22847366333008
2009-03-09,3.2103023529052734,14.591652870178223,15.358283996582031,29.569133758544922,,17.48175811767578,108.36000061035156,9.306509971618652,6.340705394744873,6.800000190734863,7.4996113777160645,17.185327529907227,24.613279342651367,49.80855178833008,34.60969543457031,16.559640884399414,34.51715850830078
