Date,BEP,BP,COP,CVX,EOG,FSLR,ICLN,NEE,PLUG,QCLN,SHEL,SLB,SPY,TAN,TTE,XOM,ENPH
2016-04-07,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2.0
2016-05-06,1,1,2,1,0,1,0,0,2,1,1,1,1,1,1,1,2.0
2016-06-07,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1,2.0
2016-07-07,1,0,1,0,0,1,1,2,0,0,0,1,1,0,0,0,2.0
2016-08-05,2,1,1,1,1,2,2,1,2,1,1,1,2,0,1,2,2.0
2016-09-06,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1.0
2016-10-05,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.0
2016-11-03,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2.0
2016-12-05,0,2,1,0,2,2,0,0,0,0,2,0,0,0,0,0,1.0
2017-01-05,0,1,1,0,2,1,1,1,1,1,0,1,0,2,1,1,1.0
2017-02-06,1,1,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2.0
2017-03-08,1,2,0,1,0,2,1,1,1,1,1,0,1,1,1,1,2.0
2017-04-06,1,0,1,0,1,2,1,1,1,1,1,1,2,0,1,0,1.0
2017-05-08,1,2,1,1,1,2,1,1,2,1,1,0,1,2,1,1,2.0
2017-06-07,1,0,0,1,0,2,0,1,2,1,1,1,1,1,1,1,2.0
2017-07-07,0,1,0,1,1,2,1,1,2,1,1,1,1,1,1,1,2.0
2017-08-07,0,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,2.0
2017-09-06,1,1,1,1,1,2,1,1,2,1,1,1,1,1,0,1,2.0
2017-10-05,0,0,0,0,0,2,0,1,2,1,0,0,1,0,0,0,2.0
2017-11-03,0,0,0,0,0,1,2,2,1,0,2,0,0,0,0,0,1.0
2017-12-05,2,1,1,2,1,2,0,1,2,0,1,1,1,1,1,1,2.0
2018-01-05,0,0,0,0,0,2,0,0,1,2,0,0,2,0,0,0,1.0
