Date,xi,sigma,dxi_dt,dsigma_dt,d2xi_dt2,d2sigma_dt2,RVI
2019-01-03,-0.24635641715649492,0.010599411913498636,-5.551115123125783e-17,3.469446951953614e-18,0.0,-8.673617379884035e-19,3.469446951953614e-17
2019-01-04,-0.24635641715649492,0.010599411913498636,-5.551115123125783e-17,2.6020852139652106e-18,1.3877787807814457e-17,-8.673617379884035e-19,3.434752482434078e-17
2019-01-07,-0.24635641715649492,0.010599411913498636,-2.7755575615628914e-17,1.734723475976807e-18,2.0816681711721685e-17,-8.673617379884035e-19,1.734723475976807e-17
2019-01-08,-0.24635641715649492,0.010599411913498636,-1.3877787807814457e-17,8.673617379884035e-19,6.938893903907228e-18,-8.673617379884035e-19,8.673617379884035e-18
2019-01-09,-0.24635641715649492,0.010599411913498636,-1.3877787807814457e-17,0.0,6.938893903907228e-18,-4.336808689942018e-19,8.326672684688674e-18
2019-01-10,-0.24635641715649492,0.010599411913498636,0.0,0.0,1.3877787807814457e-17,-4.336808689942018e-19,0.0
2019-01-11,-0.24635641715649492,0.010599411913498636,1.3877787807814457e-17,-8.673617379884035e-19,1.3877787807814457e-17,-4.336808689942018e-19,8.673617379884035e-18
2019-01-14,-0.24635641715649492,0.010599411913498636,2.7755575615628914e-17,-8.673617379884035e-19,0.0,0.0,1.7000290064572708e-17
2019-01-15,-0.24635641715649492,0.010599411913498636,1.3877787807814457e-17,-8.673617379884035e-19,9.506284648352903e-16,-4.206704429243757e-17,8.673617379884035e-18
2019-01-16,-0.24635641715649492,0.010599411913498636,1.9290125052862095e-15,-8.500145032286355e-17,9.575673587391975e-16,-4.163336342344337e-17,1.191408083300871e-15
2019-01-17,-0.24635641715649492,0.010599411913498636,1.9290125052862095e-15,-8.413408858487514e-17,0.0004230523615791418,-1.1708886181400861e-05,1.1910611386056756e-15
2019-01-18,-0.24635641715649492,0.010599411913498636,0.0008461047231602126,-2.3417772362886724e-05,0.0014171587079644526,-5.052685912052598e-06,0.0005170299428412822
2019-01-22,-0.24635641715649492,0.010599411913498636,0.0028343174159308343,-1.010537182418933e-05,0.0009070472152920145,2.425252125526963e-05,0.0017046325982881764
2019-01-23,-0.24635641715649492,0.010599411913498636,0.0026601991537442415,2.5087270147652538e-05,-0.001331406097618261,1.606763587500091e-05,0.001606154400305606
2019-01-24,-0.24635641715649492,0.010599411913498636,0.0001715052206943124,2.2029899925812488e-05,-0.0007784938366904026,8.468879874232692e-07,0.00011171509238691243
2019-01-25,-0.24635641715649492,0.010599411913498636,0.0011032114803634363,2.6781046122499076e-05,0.00020521947587131412,2.6096341834360055e-06,0.0006726393066670614
2019-01-28,-0.24635641715649492,0.010599411913498636,0.0005819441724369406,2.72491682926845e-05,-0.0027225908876090527,-5.332671819852173e-06,0.00036006617077923817
2019-01-29,-0.24635641715649492,0.010599411913498636,-0.004341970294854669,1.611570248279473e-05,-0.0045969463968860355,-1.0661204982580306e-05,0.0026116284579059193
2019-01-30,-0.24635641715649492,0.010599411913498636,-0.00861194862133513,5.926758327523887e-06,-0.003943010256074908,-9.716683327960947e-06,0.005169539876132088
2019-01-31,-0.24635641715649492,0.010599411913498636,-0.012227990807004485,-3.3176641731271633e-06,-0.003289074115263829,-8.772161673341154e-06,0.007338121549871942
2019-02-01,-0.24635641715649492,0.010599411913498636,-0.015190096851862789,-1.1617565019158421e-05,-0.002635137974452695,-7.827640018722229e-06,0.009118705137125337
2019-02-04,-0.24635641715649492,0.010599411913498636,-0.017498266755909875,-1.897294421057162e-05,-0.0019812018336415327,-6.883118364103304e-06,0.010506549231230154
2019-02-05,-0.2766281639184506,0.011437247769148633,-0.019152500519145854,-2.538380174736503e-05,-0.001327265692830426,-5.938596709483511e-06,0.01150165383218646
2019-02-06,-0.3343078861433791,0.010588588169586303,-0.020152798141570727,-3.085013762953864e-05,-0.0006733295520192917,-4.994075054864586e-06,0.01210401893999425
2019-02-07,-0.3343078861433791,0.010588588169586303,-0.020499159623184438,-3.53719518570942e-05,-1.9393411208185052e-05,-4.049553400244793e-06,0.012313644554653499
2019-02-08,-0.3343078861433791,0.010588588169586303,-0.020191584963987097,-3.894924443002823e-05,0.0006345427296029216,-3.1050317456258678e-06,0.01213053067616427
2019-02-11,-0.44639548263062245,0.010310482739350608,-0.019230074163978594,-4.1582015348345935e-05,0.0012884788704140837,-2.16051009100781e-06,0.011554677304526495
2019-02-12,-0.44639548263062245,0.010310482739350608,-0.01761462722315893,-4.327026461204385e-05,0.0019424150112252458,-1.2159884363871498e-06,0.010586084439740176
2019-02-13,-0.44639548263062245,0.010310482739350608,-0.015345244141528103,-4.4013992221120235e-05,0.003008069817599879,-7.638334665829687e-06,0.00922475208180531
2019-02-14,-0.44639548263062245,0.010310482739350608,-0.011598487587959172,-5.854693394370322e-05,0.003844992031994718,-9.967976515238945e-06,0.006982511326352985
2019-02-15,-0.44639548263062245,0.010310482739350608,-0.007655260077538667,-6.394994525159813e-05,0.0036538214382281498,6.0980107961391104e-06,0.0046187360246238394
2019-02-19,-0.44639548263062245,0.010310482739350608,-0.0042908447115028725,-4.6350912351425e-05,0.0030567163107990403,3.610822488770175e-05,0.0025930471918422936
2019-02-20,-0.44639548263062245,0.010310482739350608,-0.0015418274559405865,8.266504523805375e-06,0.0015385842917437498,4.295975513287503e-05,0.000928403075373874
2019-02-21,-0.44639548263062245,0.010310482739350608,-0.001213676128015373,3.9568597914325064e-05,0.0005347435289395075,1.2597182377702826e-05,0.0007440331159749538
2019-02-22,-0.44639548263062245,0.010310482739350608,-0.00047234039806157146,3.3460869279211027e-05,0.0017787825742777569,5.345368263128675e-06,0.00029678858654862725
2019-02-25,-0.44639548263062245,0.010310482739350608,0.002343889020540141,5.0259334440582414e-05,0.0005193015382653904,1.0118357558943757e-05,0.0014264371461003174
2019-02-26,-0.44639548263062245,0.010310482739350608,0.0005662626784692093,5.369758439709854e-05,-0.002599717426522416,4.174243308733422e-07,0.00036123664084036495
2019-02-27,-0.44639548263062245,0.010310482739350608,-0.002855545832504691,5.10941831023291e-05,-0.001807212715267889,4.215433021034082e-07,0.0017337651727437463
2019-02-28,-0.44639548263062245,0.010310482739350608,-0.003048162752066569,5.454067100130536e-05,-0.0001444626896714013,2.584865924232845e-06,0.0018507139196404633
2019-03-01,-0.44639548263062245,0.010310482739350608,-0.003144471211847494,5.626391495079479e-05,-4.8154229890448597e-05,8.616219747447154e-07,0.001909188293088814
2019-03-04,-0.4758562404776105,0.010837623063499101,-0.003144471211847466,5.626391495079479e-05,0.003430875968419414,-7.269874430253405e-05,0.0019091882930887974
2019-03-05,-0.4758562404776105,0.010837623063499101,0.0037172807249913342,-8.913357365427331e-05,0.0050306163119909625,-0.00010634959817548435,0.00226602186445651
2019-03-06,-0.4758562404776105,0.010837623063499101,0.006916761412134459,-0.0001564352814001739,-0.004482983077318856,0.00010138013138950418,0.004212630959840745
2019-03-07,-0.4758562404776105,0.010837623063499101,-0.005248685429646377,0.00011362668912473506,-0.008349366060568728,0.00017831918402354003,0.00319466193343772
2019-03-08,-0.4758562404776105,0.010837623063499101,-0.009781970709002996,0.00020020308664690616,0.00021864266091707607,-3.1268936620235024e-05,0.00594926366006056
2019-03-11,-0.4758562404776105,0.010837623063499101,-0.004811400107812225,5.108881588426501e-05,0.0015122831467043463,-5.562832752259482e-05,0.0029072755910410407
2019-03-12,-0.4758562404776105,0.010837623063499101,-0.006757404415594304,8.894643160171651e-05,-0.0037481746903647584,9.246535945916937e-05,0.004090021221997268
2019-03-13,-0.4758562404776105,0.010837623063499101,-0.012307749488541742,0.00023601953480260375,-0.004976810946239196,0.0001352087464217334,0.007479057507046086
2019-03-14,-0.4758562404776105,0.010837623063499101,-0.016711026308072696,0.0003593639244451833,-0.0037270769212751076,0.0001127198090227822,0.01017036135462169
2019-03-15,-0.4758562404776105,0.010837623063499101,-0.019761903331091957,0.00046145915284816815,-0.00298269524450534,8.577048850661514e-05,0.012041725659794441
2019-03-18,-0.4758562404776105,0.010837623063499101,-0.022676416797083376,0.0005309049014584136,-0.0028203703652584233,7.024194821362868e-05,0.013818212038833391
2019-03-19,-0.4758562404776105,0.010837623063499101,-0.025402644061608803,0.0006019430492754255,-0.002210544623438171,7.493558876466976e-05,0.01548236365667545
2019-03-20,-0.7179087737679152,0.015977968261176742,-0.027097506043959718,0.0006807760789877531,-0.001215620777360371,6.51359437868382e-05,0.01653081405797093
2019-03-21,-0.7179087737679152,0.015977968261176742,-0.027833885616329546,0.0007322149368491019,-0.0014082512137248149,6.0371968004249276e-05,0.016993217344537365
2019-03-22,-0.5271111523843937,0.011541679258028268,-0.029914008471409348,0.0008015200149962516,-0.0009613745132306117,4.30356610725542e-05,0.01826901308884411
2019-03-25,-0.6624183136986205,0.014978916508877203,-0.02975663464279077,0.0008182862589942103,0.002359918476091488,-3.0809965866175366e-05,0.018181295289272145
2019-03-26,-0.7602213178221017,0.018016655410366456,-0.02519417151922637,0.0007399000832639009,0.004907071247111067,-8.943645509809509e-05,0.015412462944841384
2019-03-27,-0.7602213178221017,0.018016655410366456,-0.019942492148568636,0.0006394133487980201,0.005596287494204405,-0.00011153701383366434,0.012221260628660389
2019-03-28,-0.7524187191844899,0.01811087839847768,-0.014001596530817562,0.0005168260555965722,0.006285503741297799,-0.0001336375725692297,0.008607688340729164
2019-03-29,-0.7524187191844899,0.01811087839847768,-0.007371484665973038,0.0003721382036595607,0.0069747199883910815,-0.00015573813130479505,0.004571746081047647
2019-04-01,-0.7524187191844899,0.01811087839847768,-5.215655403539854e-05,0.00020534979298698214,0.0076639362354843366,-0.000177838690040363,0.00011343384961603198
2019-04-02,-0.7690560096908561,0.019217500232714096,0.007956387804995635,1.646082357883473e-05,0.002893320904600899,-8.399161273808884e-05,0.004780417012428914
2019-04-03,-0.7690560096908561,0.019217500232714096,0.005734485255166399,3.736656751080446e-05,-0.004152224250439651,5.816697957995373e-05,0.0034556377801041615
2019-04-04,-0.7690560096908561,0.019217500232714096,-0.0003480606958836674,0.0001327947827387422,0.001721945938906455,-8.378517254247278e-05,0.0002619543306256973
2019-04-05,-0.7690560096908561,0.019217500232714096,0.00917837713297931,-0.0001302037775741411,0.008122633115513422,-0.00022721999336276083,0.005559107790817242
2019-04-08,-0.6866874904634578,0.01759818398070917,0.015897205535143177,-0.00032164520398677947,0.0008031386190354428,-4.068207072290258e-05,0.009666981402680618
2019-04-09,-0.6866874904634578,0.01759818398070917,0.010784654371050195,-0.00021156791901994626,-0.004204046978277143,9.084434273101769e-05,0.006555419790238095
2019-04-10,-0.6866874904634578,0.01759818398070917,0.007489111578588892,-0.00013995651852474408,-0.002183735186628122,4.510987913971046e-05,0.004549449554563233
2019-04-11,-0.6866874904634578,0.01759818398070917,0.0064171839977939515,-0.00012134816074052535,-0.0010731829686486671,1.856341617694282e-05,0.0038988496629725807
2019-04-12,-0.6866874904634578,0.01759818398070917,0.0053427456412915575,-0.00010282968617085844,-0.0012310623138394594,1.6033315068779593e-05,0.003246779259243278
2019-04-15,-0.6866874904634578,0.01759818398070917,0.003955059370115033,-8.928153060296616e-05,-0.0018327164815939712,3.7950781593030884e-05,0.002408748234310206
2019-04-16,-0.6866874904634578,0.01759818398070917,0.0016773126781036152,-2.6928122984796674e-05,-0.0025172848083089006,7.256419443541114e-05,0.0010171588560560878
2019-04-17,-0.6866874904634578,0.01759818398070917,-0.0010795102465027684,5.584685826785611e-05,-0.002611675744386116,6.829624412977003e-05,0.0006700448912088034
2019-04-18,-0.6866874904634578,0.01759818398070917,-0.003546038810668617,0.00010966436527474338,-0.00249226610030287,5.8249202193130095e-05,0.0021714890325110676
2019-04-22,-0.6866874904634578,0.01759818398070917,-0.006064042447108509,0.0001723452626541163,-0.000781664207160776,2.522743042928776e-05,0.0037073635733267515
2019-04-23,-0.6987872667038173,0.0179317272830262,-0.005109367224990169,0.0001601192261333189,0.0015491980866754462,-3.1616456147641296e-05,0.003129668025447429
2019-04-24,-0.6987872667038173,0.0179317272830262,-0.002965646273757616,0.00010911235035883371,0.0010470871338966736,-2.9634061670177382e-05,0.0018230327043981033
2019-04-25,-0.7145883293669213,0.018585932867336258,-0.0030151929571968217,0.00010085110279296414,0.0015606898033237449,-4.162400191256091e-05,0.0018494562154352785
2019-04-26,-0.7145883293669213,0.018585932867336258,0.00015573333288987357,2.586434653371189e-05,0.0023610956203447275,-5.840782023299341e-05,0.0001037857383474089
2019-04-29,-0.7145883293669213,0.018585932867336258,0.0017069982834926334,-1.596453767302268e-05,-0.0007233432086027058,4.977917045257199e-06,0.001030584785164789
2019-04-30,-0.7145883293669213,0.018585932867336258,-0.0012909530843155381,3.582018062422629e-05,-0.0027615124022191406,4.677232201941422e-05,0.0007888999228390133
2019-05-01,-0.7156082207201744,0.018613974921772868,-0.003816026520945648,7.758010636580576e-05,-0.0022886344710409956,3.674752946374038e-05,0.0023206479551137107
2019-05-02,-0.7156082207201744,0.018613974921772868,-0.005868222026397529,0.00010931523955170705,-0.001815756539862795,2.672273690806394e-05,0.0035646593116592006
2019-05-03,-0.7156082207201744,0.018613974921772868,-0.007447539600671238,0.00013102558018193364,-0.0013428786086845668,1.669794435239097e-05,0.004520933992475516
2019-05-06,-0.7156082207201744,0.018613974921772868,-0.008553979243766663,0.000142711128256489,-0.0011429279611234466,1.4196684931690531e-05,0.0051894719975625935
2019-05-07,-0.7200177604116427,0.018367450266333962,-0.009733395522918131,0.0001594189500453147,-0.002324575210328278,5.368228671346828e-05,0.0059038048937690045
2019-05-08,-0.7200177604116427,0.018367450266333962,-0.013203129664423219,0.00025007570168342555,-0.0027360144356465554,7.470026101246384e-05,0.008021908079327301
2019-05-09,-0.7200177604116427,0.018367450266333962,-0.015205424394211242,0.0003088194720702424,-0.00017686599016306093,6.081958078709045e-06,0.009246782425354842
2019-05-10,-0.7200177604116427,0.018367450266333962,-0.01355686164474934,0.00026223961784084364,0.001990172276485652,-5.669924131890356e-05,0.008239012833985941
2019-05-13,-0.8313408496108754,0.02066476802348978,-0.011225079841239938,0.00019542098943243526,0.002882536301155647,-8.066819661735856e-05,0.006813216300516936
