Ticker,xi,sigma,dxi_dt,dsigma_dt,RVI,cluster,cluster_label
BEP,0.021997017427404102,0.014647934282054676,-0.006030311055129273,0.00021557717002113584,0.0037044175010860175,1,Warning
BP,0.29945680348591364,0.011365683314712886,0.009573911849474759,-0.00017473795514739987,0.005814242291743816,2,Crash
COP,0.4576549474231164,0.011016294946003355,0.006955879848720592,-9.714320623415915e-05,0.004212385191726019,2,Crash
CVX,0.3785488154355765,0.008566375234927776,-0.02244534499192674,0.0003591067489805994,0.013610849694748284,2,Crash
ENPH,0.5093877557089019,0.025342781006156598,0.01498816491809174,-0.0005214579884813587,0.009201482146247587,2,Crash
EOG,0.2956044180374142,0.011516636963737883,0.0012857331729101973,5.674509796531682e-05,0.0007941379429322451,2,Crash
FSLR,0.18838045382647456,0.0203343696628948,-0.0023149002069603464,0.00010521600035906173,0.0014310265243198323,1,Warning
ICLN,0.11557648953659913,0.008038013588909227,0.03849056166866366,-0.0004787812112104911,0.02328584948568239,2,Crash
NEE,0.031392149455301034,0.014486607722634045,-0.01855255063682841,0.00043938012759970127,0.011307282433136926,1,Warning
PLUG,-0.13314341554991896,0.031178994147227305,0.007372897694350081,-0.0004358765190559388,0.004598089224232424,1,Warning
QCLN,-0.017367783594826706,0.011797750470616784,-0.05273082546834362,0.0017209944362754324,0.032326893055516344,0,Safe
SHEL,0.32937048263824853,0.008914216475876115,0.006071945852924698,-8.177442819725864e-05,0.003675877283033722,2,Crash
SLB,0.23998859690243915,0.014865306526395722,0.009248580975034143,-0.00015618236147671612,0.0056116215296111716,2,Crash
SPY,0.35344040682355027,0.006406277433892365,0.013175878123114437,-0.00018263364663291363,0.007978580332521829,2,Crash
TAN,0.017972626547868235,0.01561909461827929,-0.002061282910123023,0.00013627488100648524,0.001291279698476408,1,Warning
TTE,0.15392306337493292,0.009679612198570671,0.012732676142735072,-0.00017985567717456602,0.00771154795651087,2,Crash
XOM,0.03950154106346876,0.012551005393676123,-0.000996159343528008,4.637171316723872e-05,0.0006162442913837003,1,Warning
