Date,xi,sigma,dxi_dt,dsigma_dt,d2xi_dt2,d2sigma_dt2,RVI
2019-01-03,-0.4528073849474045,0.014209938023368437,-0.004628092882556667,0.00017855273690841472,0.0007547589675951094,-2.908189551085929e-05,0.002848276824297366
2019-01-04,-0.4528073849474045,0.014209938023368437,-0.0038733339149615575,0.00014947084139755543,0.0010953100992427967,-4.218007513847417e-05,0.0023837886855359565
2019-01-07,-0.4528073849474045,0.014209938023368437,-0.0024374726840710736,9.419258663146638e-05,0.001362204526590749,-5.2392718510460394e-05,0.0015001606450952309
2019-01-08,-0.4528073849474045,0.014209938023368437,-0.0011489248617800596,4.4685404376634645e-05,0.0012148911179912514,-4.662164599920221e-05,0.0007072290788186896
2019-01-09,-0.4528073849474045,0.014209938023368437,-7.69044808857089e-06,9.492946330619603e-07,0.001067577709391726,-4.085057348794316e-05,4.993986706367317e-06
2019-01-10,-0.44720578539083666,0.014196861029041736,0.0009862305570033925,-3.701574259925167e-05,0.0009202643007922146,-3.5079500976684976e-05,0.0006065446312417362
2019-01-11,-0.44720578539083666,0.014196861029041736,0.0018328381534958582,-6.920970732030799e-05,0.000772950892192717,-2.9308428465427225e-05,0.001127386775025638
2019-01-14,-0.4560623754100915,0.014271760997652415,0.0025321323413888264,-9.563259953010612e-05,0.0006256374835932194,-2.3537355954168608e-05,0.001557532444645338
2019-01-15,-0.4560623754100915,0.014271760997652415,0.003084113120682297,-0.00011628441922864521,0.00047832407499548424,-1.7766283442965936e-05,0.0018969816401008361
2019-01-16,-0.4560623754100915,0.014271760997652415,0.003488780491379795,-0.000131165166416038,0.00017615630891054668,-5.7575732488480275e-06,0.002145734361394292
2019-01-17,-0.4560623754100915,0.014271760997652415,0.0034364257385033903,-0.00012779956572634126,0.000646366930245279,-1.6215519796143607e-05,0.0021129752693925708
2019-01-18,-0.4560623754100915,0.014271760997652415,0.004781514351870353,-0.0001635962060083252,0.0010313970126686611,-8.427945484055718e-06,0.002934347093525542
2019-01-22,-0.4214443355593564,0.013102012713837055,0.0054992197638407125,-0.0001446554566944527,-0.0004404231806730968,4.309687944562858e-05,0.0033573940409822086
2019-01-23,-0.4214443355593564,0.013102012713837055,0.0039006679905241592,-7.740244711706805e-05,-0.0016007901301635097,3.679167754958761e-05,0.002371361773161323
2019-01-24,-0.4214443355593564,0.013102012713837055,0.002297639503513693,-7.107210159527748e-05,-0.0024587077488356923,2.3963557771941157e-05,0.0014070125427463269
2019-01-25,-0.4214443355593564,0.013102012713837055,-0.0010167475071472254,-2.9475331573185735e-05,-0.0026860616717974406,3.35745464971407e-05,0.0006218386369176096
2019-01-28,-0.4214443355593564,0.013102012713837055,-0.003074483840081188,-3.923008600996078e-06,-0.000850783587861309,3.39274124202529e-06,0.0018462595074891113
2019-01-29,-0.4214443355593564,0.013102012713837055,-0.0027183146828698435,-2.2689849089135156e-05,0.00021478374770579622,-1.4475649147222425e-05,0.00164006474935756
2019-01-30,-0.4214443355593564,0.013102012713837055,-0.0026449163446695956,-3.287430689544093e-05,0.0001245474943306346,-7.5215266525791025e-06,0.0016000995295599337
2019-01-31,-0.4214443355593564,0.013102012713837055,-0.0024692196942085742,-3.773290239429336e-05,0.00010307358582548054,-1.1489256533611138e-06,0.0014966249774828618
2019-02-01,-0.4214443355593564,0.013102012713837055,-0.0024387691730186345,-3.5172158202163156e-05,-4.217254344561494e-05,6.270414037621089e-06,0.001477330367092046
2019-02-04,-0.4214443355593564,0.013102012713837055,-0.002553564781099804,-2.5192074319051183e-05,0.0005934393690291695,-1.2695545906331492e-05,0.001542215698387503
2019-02-05,-0.47614952482400985,0.014668788767229143,-0.0012518904349602955,-6.056325001482614e-05,0.001554408798898066,-4.265538069817172e-05,0.0007753595609821078
2019-02-06,-0.47692082460363205,0.01326169109462446,0.0005552528166963278,-0.00011050283571539463,0.0013073116207035634,-3.179448018524088e-05,0.0003773528243039545
2019-02-07,-0.48004480974392505,0.013226629624854661,0.0013627328064468314,-0.0001241522103853079,0.0007914408411834606,-1.1851683058838446e-05,0.0008673005680222219
2019-02-08,-0.48004480974392505,0.013226629624854661,0.002138134499063249,-0.00013420620183307152,0.0007593625440494023,-8.256299836687919e-06,0.001336563180171178
2019-02-11,-0.4116315844660524,0.012002184986181053,0.002881457894545636,-0.00014066481005868374,0.0007272842469153717,-4.660916614536523e-06,0.001785140660750855
2019-02-12,-0.4116315844660524,0.012002184986181053,0.0035927029928939924,-0.00014352803506214457,0.0006952059497813412,-1.0655333923851283e-06,0.0022130330097612535
2019-02-13,-0.4116315844660524,0.012002184986181053,0.004271869794108318,-0.000142795876843454,0.0006631276526473107,2.5298498297653994e-06,0.0026202402272023726
2019-02-14,-0.4116315844660524,0.012002184986181053,0.004918958298188614,-0.00013846833540261377,0.0006310493555132385,6.125233051916361e-06,0.0030067623130742138
2019-02-15,-0.4116315844660524,0.012002184986181053,0.005533968505134795,-0.00013054541073962127,0.0006186914366769908,1.0618619643308451e-05,0.0033725992673767254
2019-02-19,-0.4116315844660524,0.012002184986181053,0.006156341171542595,-0.00011723109611599686,-0.0006385738854288031,4.995392870841891e-05,0.0037406971413719557
2019-02-20,-0.4116315844660524,0.012002184986181053,0.004256820734277189,-3.063755332278345e-05,-0.0024766267463895153,7.003314869222102e-05,0.002566347461895427
2019-02-21,-0.4116315844660524,0.012002184986181053,0.0012030876787635647,2.2835201268445182e-05,-0.0024700838861595464,2.2025003290512997e-05,0.0007309866877655168
2019-02-22,-0.4116315844660524,0.012002184986181053,-0.0006833470380419038,1.3412453258242543e-05,-0.002009426607870554,1.2075854291226581e-05,0.00041537320412843927
2019-02-25,-0.4116315844660524,0.012002184986181053,-0.0028157655369775436,4.6986909850898345e-05,-0.0006551212463512118,8.551804290409751e-06,0.0017082540861268853
2019-02-26,-0.4116315844660524,0.012002184986181053,-0.0019935895307443274,3.0516061839062046e-05,0.0013556410645770428,-2.587237613168366e-05,0.0012083601431822212
2019-02-27,-0.4116315844660524,0.012002184986181053,-0.000104483407823458,-4.757842412468974e-06,0.0009353271534848495,-1.8057070661082596e-05,6.45931816590624e-05
2019-02-28,-0.4116315844660524,0.012002184986181053,-0.0001229352237746284,-5.598079483103147e-06,-1.6145338957274102e-05,-7.352074368055517e-07,7.600036605801829e-05
2019-03-01,-0.4116315844660524,0.012002184986181053,-0.0001367740857380062,-6.228257286080077e-06,-1.1532384969481502e-05,-5.251481691470085e-07,8.455575435723575e-05
2019-03-04,-0.4116315844660524,0.012002184986181053,-0.0001459999937135914,-6.648375821397164e-06,-6.919430981675023e-06,-3.1508890148759794e-07,9.02593465567137e-05
2019-03-05,-0.4116315844660524,0.012002184986181053,-0.00015061294770135625,-6.858435089055273e-06,-2.3064769938824226e-06,-1.0502963382948843e-07,9.311114265643586e-05
2019-03-06,-0.4130426870909177,0.011937927856204261,-0.00015061294770135625,-6.8584350890561405e-06,-0.00012372478643732365,8.707356639895726e-06,9.311114265643621e-05
2019-03-07,-0.4130426870909177,0.011937927856204261,-0.00039806252057600355,1.0556278190736179e-05,0.0002420080770925287,-1.4456741510575528e-06,0.00024306002362189661
2019-03-08,-0.4130426870909177,0.011937927856204261,0.00033340320648370114,-9.749783391171246e-06,0.0006907095842895866,-2.5198065839929142e-05,0.00020394183724668918
2019-03-11,-0.4130426870909177,0.011937927856204261,0.0009833566480031697,-3.9839853489122105e-05,1.3038402752435507e-05,-7.74088113316123e-06,0.0006059499301975507
