Date,xi,sigma,threshold,n_exceedances,fit_success
2010-01-04,-0.6359363602385611,0.03007899842538942,0.03334893636735506,26,True
2010-01-05,-0.6359363602385611,0.03007899842538942,0.03334893636735506,26,True
2010-01-06,-0.6359363602385611,0.03007899842538942,0.03334893636735506,26,True
2010-01-07,-0.623902907654838,0.03010839647401118,0.03268158722727709,26,True
2010-01-08,-0.623902907654838,0.03010839647401118,0.03268158722727709,26,True
2010-01-11,-0.623902907654838,0.03010839647401118,0.03268158722727709,26,True
2010-01-12,-0.47906101041765536,0.02525132974442555,0.03238828279115156,26,True
2010-01-13,-0.47906101041765536,0.02525132974442555,0.03238828279115156,26,True
2010-01-14,-0.4692440111667052,0.025626774561733276,0.031214050779632074,26,True
2010-01-15,-0.4692440111667052,0.025626774561733276,0.031214050779632074,26,True
2010-01-19,-0.4692440111667052,0.025626774561733276,0.031214050779632074,26,True
2010-01-20,-0.37696325032934264,0.02216863530648107,0.030517724601382114,26,True
2010-01-21,-0.37696325032934264,0.02216863530648107,0.030517724601382114,26,True
2010-01-22,-0.3910450004482254,0.022600044737619788,0.030517724601382114,26,True
2010-01-25,-0.3910450004482254,0.022600044737619788,0.030517724601382114,26,True
2010-01-26,-0.3910450004482254,0.022600044737619788,0.030517724601382114,26,True
2010-01-27,-0.3910450004482254,0.022600044737619788,0.030517724601382114,26,True
2010-01-28,-0.3910450004482254,0.022600044737619788,0.030517724601382114,26,True
2010-01-29,-0.39246479934320844,0.022958141413154685,0.029950599547607,26,True
2010-02-01,-0.39246479934320844,0.022958141413154685,0.029950599547607,26,True
2010-02-02,-0.39246479934320844,0.022958141413154685,0.029950599547607,26,True
2010-02-03,-0.39246479934320844,0.022958141413154685,0.029950599547607,26,True
2010-02-04,-0.44843217832984045,0.02449926867417483,0.030517724601382114,26,True
2010-02-05,-0.44843217832984045,0.02449926867417483,0.030517724601382114,26,True
2010-02-08,-0.44843217832984045,0.02449926867417483,0.030517724601382114,26,True
2010-02-09,-0.44843217832984045,0.02449926867417483,0.030517724601382114,26,True
2010-02-10,-0.4484383167752895,0.02482599567355155,0.029950599547607,26,True
2010-02-11,-0.4484383167752895,0.02482599567355155,0.029950599547607,26,True
2010-02-12,-0.4484383167752895,0.02482599567355155,0.029950599547607,26,True
2010-02-16,-0.4484383167752895,0.02482599567355155,0.029950599547607,26,True
2010-02-17,-0.36322877665213227,0.022181717612149925,0.029400387851067043,26,True
2010-02-18,-0.36322877665213227,0.022181717612149925,0.029400387851067043,26,True
2010-02-19,-0.38623689957226787,0.02311359611457557,0.028980652927924972,26,True
2010-02-22,-0.3939082350011731,0.023580528071421854,0.028574412950965824,26,True
2010-02-23,-0.3551337970651487,0.022680308263803843,0.027940936959170486,26,True
2010-02-24,-0.3551337970651487,0.022680308263803843,0.027940936959170486,26,True
2010-02-25,-0.3656302763547786,0.023165360019845867,0.027638054549846053,26,True
2010-02-26,-0.3656302763547786,0.023165360019845867,0.027638054549846053,26,True
2010-03-01,-0.36712887159826335,0.023271427808016755,0.027530076799396338,26,True
2010-03-02,-0.45160439799424645,0.022759161107584122,0.027071975589760967,26,True
2010-03-03,-0.45160439799424645,0.022759161107584122,0.027071975589760967,26,True
2010-03-04,-0.45160439799424645,0.022759161107584122,0.027071975589760967,26,True
2010-03-05,-0.44176782874991194,0.023129492306428197,0.025877503713216992,26,True
2010-03-08,-0.44176782874991194,0.023129492306428197,0.025877503713216992,26,True
2010-03-09,-0.5296229915991648,0.026964458479735644,0.024147219816073772,26,True
2010-03-10,-0.5296229915991648,0.026964458479735644,0.024147219816073772,26,True
2010-03-11,-0.5296229915991648,0.026964458479735644,0.024147219816073772,26,True
2010-03-12,-0.5296229915991648,0.026964458479735644,0.024147219816073772,26,True
2010-03-15,-0.5296229915991648,0.026964458479735644,0.024147219816073772,26,True
2010-03-16,-0.5400815630657831,0.02771292335792025,0.023535092846829555,26,True
2010-03-17,-0.5400815630657831,0.02771292335792025,0.023535092846829555,26,True
2010-03-18,-0.5400815630657831,0.02771292335792025,0.023535092846829555,26,True
2010-03-19,-0.5400815630657831,0.02771292335792025,0.023535092846829555,26,True
2010-03-22,-0.4770541079407482,0.02567898788101398,0.023360661232335028,26,True
2010-03-23,-0.4770541079407482,0.02567898788101398,0.023360661232335028,26,True
2010-03-24,-0.4770541079407482,0.02567898788101398,0.023360661232335028,26,True
2010-03-25,-0.4770541079407482,0.02567898788101398,0.023360661232335028,26,True
2010-03-26,-0.4770541079407482,0.02567898788101398,0.023360661232335028,26,True
2010-03-29,-0.4770541079407482,0.02567898788101398,0.023360661232335028,26,True
2010-03-30,-0.3755776875809851,0.02256261495024587,0.022566780864275854,26,True
2010-03-31,-0.3755776875809851,0.02256261495024587,0.022566780864275854,26,True
2010-04-01,-0.3755776875809851,0.02256261495024587,0.022566780864275854,26,True
2010-04-05,-0.3755776875809851,0.02256261495024587,0.022566780864275854,26,True
2010-04-06,-0.3755776875809851,0.02256261495024587,0.022566780864275854,26,True
2010-04-07,-0.3755776875809851,0.02256261495024587,0.022566780864275854,26,True
2010-04-08,-0.26538521336554594,0.019568418020524177,0.022377190337020847,26,True
2010-04-09,-0.26538521336554594,0.019568418020524177,0.022377190337020847,26,True
2010-04-12,-0.26538521336554594,0.019568418020524177,0.022377190337020847,26,True
2010-04-13,-0.26538521336554594,0.019568418020524177,0.022377190337020847,26,True
2010-04-14,-0.26538521336554594,0.019568418020524177,0.022377190337020847,26,True
2010-04-15,-0.26538521336554594,0.019568418020524177,0.022377190337020847,26,True
2010-04-16,-0.2556097372194007,0.019231393415574345,0.022566780864275854,26,True
2010-04-19,-0.2556097372194007,0.019231393415574345,0.022566780864275854,26,True
2010-04-20,-0.15852957144756885,0.015891397051311328,0.022377190337020847,26,True
2010-04-21,-0.15852957144756885,0.015891397051311328,0.022377190337020847,26,True
2010-04-22,-0.15852957144756885,0.015891397051311328,0.022377190337020847,26,True
2010-04-23,-0.15852957144756885,0.015891397051311328,0.022377190337020847,26,True
2010-04-26,-0.15852957144756885,0.015891397051311328,0.022377190337020847,26,True
2010-04-27,-0.15852957144756885,0.015891397051311328,0.022377190337020847,26,True
2010-04-28,-0.15852957144756885,0.015891397051311328,0.022377190337020847,26,True
2010-04-29,-0.15852957144756885,0.015891397051311328,0.022377190337020847,26,True
2010-04-30,-0.21301495757153738,0.017011134320047507,0.022566780864275854,26,True
2010-05-03,-0.21301495757153738,0.017011134320047507,0.022566780864275854,26,True
2010-05-04,-0.2603644297340926,0.01797231476904021,0.023360661232335028,26,True
2010-05-05,-0.2603644297340926,0.01797231476904021,0.023360661232335028,26,True
2010-05-06,-0.3416079028840278,0.020226641719451616,0.023535092846829555,26,True
2010-05-07,-0.2515437273747474,0.01764955502498692,0.023535092846829555,26,True
2010-05-10,-0.2515437273747474,0.01764955502498692,0.023535092846829555,26,True
2010-05-11,-0.2515437273747474,0.01764955502498692,0.023535092846829555,26,True
2010-05-12,-0.2515437273747474,0.01764955502498692,0.023535092846829555,26,True
2010-05-13,-0.537237193050406,0.020219803735642805,0.023360661232335028,26,True
2010-05-14,-0.6123462619083068,0.021849569178017076,0.023535092846829555,26,True
2010-05-17,-0.6123462619083068,0.021849569178017076,0.023535092846829555,26,True
2010-05-18,-0.6382810737593738,0.02226401204780163,0.023834942899002527,26,True
2010-05-19,-0.6382810737593738,0.02226401204780163,0.023834942899002527,26,True
2010-05-20,-0.6949142251430163,0.023416383026586583,0.024179448064990366,26,True
2010-05-21,-0.615570142446237,0.021712953062460662,0.023834942899002527,26,True
2010-05-24,-0.615570142446237,0.021712953062460662,0.023834942899002527,26,True
2010-05-25,-0.615570142446237,0.021712953062460662,0.023834942899002527,26,True
2010-05-26,-0.615570142446237,0.021712953062460662,0.023834942899002527,26,True
2010-05-27,-0.615570142446237,0.021712953062460662,0.023834942899002527,26,True
2010-05-28,-0.615570142446237,0.021712953062460662,0.023834942899002527,26,True
2010-06-01,-0.587120305518174,0.020805731648480534,0.024179448064990366,26,True
2010-06-02,-0.587120305518174,0.020805731648480534,0.024179448064990366,26,True
2010-06-03,-0.5348335279137421,0.019846545419491032,0.023834942899002527,26,True
2010-06-04,-0.7579452037230435,0.02505724240341143,0.024179448064990366,26,True
2010-06-07,-0.8576069494669539,0.02733134141035938,0.024690724403267365,26,True
2010-06-08,-0.8576069494669539,0.02733134141035938,0.024690724403267365,26,True
2010-06-09,-0.8576069494669539,0.02733134141035938,0.024690724403267365,26,True
2010-06-10,-0.8576069494669539,0.02733134141035938,0.024690724403267365,26,True
2010-06-11,-0.8576069494669539,0.02733134141035938,0.024690724403267365,26,True
2010-06-14,-0.8576069494669539,0.02733134141035938,0.024690724403267365,26,True
2010-06-15,-0.877722477069278,0.02835296028544758,0.024179448064990366,26,True
2010-06-16,-0.877722477069278,0.02835296028544758,0.024179448064990366,26,True
2010-06-17,-0.877722477069278,0.02835296028544758,0.024179448064990366,26,True
2010-06-18,-0.877722477069278,0.02835296028544758,0.024179448064990366,26,True
2010-06-21,-0.877722477069278,0.02835296028544758,0.024179448064990366,26,True
2010-06-22,-0.5683118284461278,0.0201579974530142,0.023834942899002527,26,True
2010-06-23,-0.5683118284461278,0.0201579974530142,0.023834942899002527,26,True
2010-06-24,-0.5547502247704301,0.019611517384756208,0.024179448064990366,26,True
2010-06-25,-0.5547502247704301,0.019611517384756208,0.024179448064990366,26,True
2010-06-28,-0.5547502247704301,0.019611517384756208,0.024179448064990366,26,True
2010-06-29,-0.6193844633482753,0.022106495510584176,0.024690724403267365,26,True
2010-06-30,-0.6193844633482753,0.022106495510584176,0.024690724403267365,26,True
2010-07-01,-0.6193844633482753,0.022106495510584176,0.024690724403267365,26,True
2010-07-02,-0.6193844633482753,0.022106495510584176,0.024690724403267365,26,True
2010-07-06,-0.5403898809300719,0.02048328912409028,0.024179448064990366,26,True
2010-07-07,-0.5229524736022515,0.020296289306853482,0.023834942899002527,26,True
2010-07-08,-0.5229524736022515,0.020296289306853482,0.023834942899002527,26,True
2010-07-09,-0.5229524736022515,0.020296289306853482,0.023834942899002527,26,True
2010-07-12,-0.5229524736022515,0.020296289306853482,0.023834942899002527,26,True
2010-07-13,-0.5229524736022515,0.020296289306853482,0.023834942899002527,26,True
