Variant,TP,FP,FN,Precision,Recall,F1,mean_lead_time
"EVT-only (ξ, σ)",0,251,159,0.0,0.0,0.0,
"EVT + Velocity (ξ, σ, dξ/dt, dσ/dt, RVI)",0,338,268,0.0,0.0,0.0,
