Date,xi,sigma,threshold,n_exceedances,fit_success
2010-01-04,0.13659978832073177,0.034848548613258507,0.06274510149021385,26,True
2010-01-05,0.13659978832073177,0.034848548613258507,0.06274510149021385,26,True
2010-01-06,0.13659978832073177,0.034848548613258507,0.06274510149021385,26,True
2010-01-07,0.13659978832073177,0.034848548613258507,0.06274510149021385,26,True
2010-01-08,0.13659978832073177,0.034848548613258507,0.06274510149021385,26,True
2010-01-11,0.13659978832073177,0.034848548613258507,0.06274510149021385,26,True
2010-01-12,0.0520461015143726,0.04141370526097932,0.05867232608370166,26,True
2010-01-13,0.0520461015143726,0.04141370526097932,0.05867232608370166,26,True
2010-01-14,0.0520461015143726,0.04141370526097932,0.05867232608370166,26,True
2010-01-15,0.0520461015143726,0.04141370526097932,0.05867232608370166,26,True
2010-01-19,0.0520461015143726,0.04141370526097932,0.05867232608370166,26,True
2010-01-20,0.09157271150090665,0.038714553783115994,0.057093793238568544,26,True
2010-01-21,0.12124434741358633,0.03633333117116685,0.05867232608370166,26,True
2010-01-22,0.14204244032811505,0.0356062294437641,0.057093793238568544,26,True
2010-01-25,0.12325539849154649,0.03688386901172424,0.05646993737661545,26,True
2010-01-26,0.12325539849154649,0.03688386901172424,0.05646993737661545,26,True
2010-01-27,0.12325539849154649,0.03688386901172424,0.05646993737661545,26,True
2010-01-28,0.12325539849154649,0.03688386901172424,0.05646993737661545,26,True
2010-01-29,0.12325539849154649,0.03688386901172424,0.05646993737661545,26,True
2010-02-01,0.12325539849154649,0.03688386901172424,0.05646993737661545,26,True
2010-02-02,0.12325539849154649,0.03688386901172424,0.05646993737661545,26,True
2010-02-03,0.12325539849154649,0.03688386901172424,0.05646993737661545,26,True
2010-02-04,0.12325539849154649,0.03688386901172424,0.05646993737661545,26,True
2010-02-05,0.15117241820416688,0.03449624461489113,0.05860770548232157,26,True
2010-02-08,0.15117241820416688,0.03449624461489113,0.05860770548232157,26,True
2010-02-09,0.15117241820416688,0.03449624461489113,0.05860770548232157,26,True
2010-02-10,0.16568591945016842,0.03385258416623764,0.05646993737661545,26,True
